,g1,g2
10275,ABI3,RUFY3
10276,ABI3,RUNX1T1
10277,ABI3,SH3BP1
10278,ABI3,SMARCD1
10279,ABI3,SNAP23
10280,ABI3,SPK1
10281,ABI3,STX1A
10282,ABI3,STX2
10283,ABI3,SUFU
10284,ABI3,SWI3C
10285,ABI3,SYP23
10286,ABI3,TAE1
10287,ABI3,TMEM147
10288,ABI3,TOC1
10289,ABI3,TRAF4
10290,ABI3,TXN2
10291,ABI3,VARS2
10292,ABI3,VASP
10293,ABI3,WAS
10294,ABI3,WASF1
10295,ABI3,WASF2
10296,ABI3,WASH1
10297,ABI3,WAVE2
10307,ABL1,ABI1
10308,ABL1,ABI2
10309,ABL1,ABL2
10310,ABL1,ACTA1
10311,ABL1,ANAPC15
10312,ABL1,ANKRA2
10313,ABL1,AP2A1
10314,ABL1,AP2B1
10315,ABL1,AP2M1
10316,ABL1,AR
10317,ABL1,ARHGAP17
10318,ABL1,ATM
10319,ABL1,ATR
10320,ABL1,ABL1
10321,ABL1,ANAPC5
10322,ABL1,ASRGL1
10323,ABL1,BACE2
10324,ABL1,BAG1
10325,ABL1,BCAR1
10326,ABL1,BCL2L1
10327,ABL1,BCR
10328,ABL1,BMP2K
10329,ABL1,BRCA1
10330,ABL1,CABLES2
10331,ABL1,CASP9
10332,ABL1,CAT
10333,ABL1,CBL
10334,ABL1,CBLB
10335,ABL1,CCND2
10336,ABL1,CDK1
10337,ABL1,CDKN1A
10338,ABL1,CDKN1B
10339,ABL1,CDON
10340,ABL1,CKAP4
10341,ABL1,CREB1
10342,ABL1,CRK
10343,ABL1,CRKL
10344,ABL1,CTNNB1
10345,ABL1,CTTN
10346,ABL1,CUL4A
10347,ABL1,CUL4B
10348,ABL1,CBL
10349,ABL1,CDON
10350,ABL1,CISH
10351,ABL1,CREB1
10352,ABL1,CRK
10353,ABL1,CRKL
10354,ABL1,DAPK1
10355,ABL1,DDB1
10356,ABL1,DDX5
10357,ABL1,DOK1
10358,ABL1,DOK2
10359,ABL1,DRG1
10360,ABL1,DVL2
10361,ABL1,DDB1
10362,ABL1,DOK1
10363,ABL1,DOK3
10364,ABL1,EEF1G
10365,ABL1,EGFR
10366,ABL1,EIF2A
10367,ABL1,EMD
10368,ABL1,EPHA3
10369,ABL1,EPHB2
10370,ABL1,EPS15
10371,ABL1,ERBB2
10372,ABL1,ERBB3
10373,ABL1,ERBB4
10374,ABL1,ERRFI1
10375,ABL1,EVL
10376,ABL1,EWSR1
10377,ABL1,EEA1
10378,ABL1,ENAH
10379,ABL1,FBXO7
10380,ABL1,FGFR1OP
10381,ABL1,FOS
10382,ABL1,FUS
10383,ABL1,FMN1
10384,ABL1,GAB3
10385,ABL1,GJA8
10386,ABL1,GPX1
10387,ABL1,GRAP2
10388,ABL1,GRB10
10389,ABL1,GRB2
10390,ABL1,GTF2F1
10391,ABL1,GZMB
10392,ABL1,GRAP2
10393,ABL1,GRB2
10394,ABL1,HCK
10395,ABL1,HERC1
10396,ABL1,HIPK2
10397,ABL1,HNRNPM
10398,ABL1,HSP90AA1
10399,ABL1,HSPA4
10400,ABL1,HSPA8
10401,ABL1,HSPD1
10402,ABL1,HSPE1
10403,ABL1,HUWE1
10404,ABL1,ILF3
10405,ABL1,INPPL1
10406,ABL1,INPP5D
10407,ABL1,JAK1
10408,ABL1,JUN
10409,ABL1,JAK1
10410,ABL1,KIAA1429
10411,ABL1,KIT
10412,ABL1,KRT31
10413,ABL1,LARS
10414,ABL1,LATS2
10415,ABL1,LRRC59
10416,ABL1,LRRK1
10417,ABL1,MAPT
10418,ABL1,MAVS
10419,ABL1,MBP
10420,ABL1,MDM2
10421,ABL1,MDM4
10422,ABL1,MICAL1
10423,ABL1,MSH5
10424,ABL1,MTOR
10425,ABL1,MUC1
10426,ABL1,MBP
10427,ABL1,MSH5
10428,ABL1,NAA25
10429,ABL1,NARS
10430,ABL1,NCK1
10431,ABL1,NCKAP1
10432,ABL1,NCOA3
10433,ABL1,NEDD4
10434,ABL1,NEDD4L
10435,ABL1,NEDD9
10436,ABL1,NFKBIA
10437,ABL1,NTRK1
10438,ABL1,NCK1
10439,ABL1,NEDD4
10440,ABL1,PAG1
10441,ABL1,PAK2
10442,ABL1,PAK4
10443,ABL1,PARK2
10444,ABL1,PARP1
10445,ABL1,PCNA
10446,ABL1,PDE4D
10447,ABL1,PDGFRB
10448,ABL1,PFDN4
10449,ABL1,PIK3R1
10450,ABL1,PIK3R2
10451,ABL1,PLCG1
10452,ABL1,PLEKHA4
10453,ABL1,PPM1B
10454,ABL1,PRDX1
10455,ABL1,PRKCZ
10456,ABL1,PRKDC
10457,ABL1,PSMA4
10458,ABL1,PSMA7
10459,ABL1,PSMD4
10460,ABL1,PSTPIP1
10461,ABL1,PTGES3
10462,ABL1,PTPN6
10463,ABL1,PARK2
10464,ABL1,PPARG
10465,ABL1,PTPN11
10466,ABL1,PXN
10467,ABL1,RAD51
10468,ABL1,RAD51B
10469,ABL1,RAD9A
10470,ABL1,RAN
10471,ABL1,RAPGEF1
10472,ABL1,RASA1
10473,ABL1,RB1
10474,ABL1,REPS1
10475,ABL1,RFX1
10476,ABL1,RIN1
10477,ABL1,RPL37
10478,ABL1,RPLP1
10479,ABL1,RPS21
10480,ABL1,RPS6KB1
10481,ABL1,RTFDC1
10482,ABL1,RYBP
10483,ABL1,RAPGEF1
10484,ABL1,RASA1
10485,ABL1,RIN1
10486,ABL1,SFN
10487,ABL1,SH3BP1
10488,ABL1,SH3KBP1
10489,ABL1,SHB
10490,ABL1,SHC1
10491,ABL1,SHD
10492,ABL1,SHE
10493,ABL1,SLC9A2
10494,ABL1,SNCA
10495,ABL1,SOCS1
10496,ABL1,SOCS3
10497,ABL1,SORBS1
10498,ABL1,SORBS2
10499,ABL1,SOS1
10500,ABL1,SPAG9
10501,ABL1,SPRR2A
10502,ABL1,SPTA1
10503,ABL1,SPTAN1
10504,ABL1,SQSTM1
10505,ABL1,SRC
10506,ABL1,SRCIN1
10507,ABL1,SRPK2
10508,ABL1,ST5
10509,ABL1,STK4
10510,ABL1,STON2
10511,ABL1,STUB1
10512,ABL1,SUB1
10513,ABL1,SORBS3
10514,ABL1,TERF1
10515,ABL1,TMPO
10516,ABL1,TOPBP1
10517,ABL1,TP53
10518,ABL1,TP73
10519,ABL1,TRIM25
10520,ABL1,TUB
10521,ABL1,UBASH3B
10522,ABL1,UBC
10523,ABL1,USP7
10524,ABL1,VAV1
10525,ABL1,WASF1
10526,ABL1,WASF2
10527,ABL1,WRNIP1
10528,ABL1,WASF1
10529,ABL1,XPO1
10530,ABL1,XRCC6
10531,ABL1,YAP1
10532,ABL1,YTHDC1
10533,ABL1,YWHAB
10534,ABL1,YWHAE
10535,ABL1,YWHAG
10536,ABL1,YWHAH
10537,ABL1,YWHAQ
10538,ABL1,YWHAZ
10539,ABL1,ZAP70
10540,ABL1,ZDHHC16
10541,ABL1,ZBTB48
10542,ABL1,CED-2
19074,ADPRH,ACD
19075,ADPRH,ADCK3
19076,ADPRH,ADPRH
19077,ADPRH,BCAT1
19078,ADPRH,OBSL1
19079,ADPRH,SPSB1
19080,ADPRH,SRPK1
19081,ADPRH,SRPK2
19082,ADPRH,SRPK2
19083,ADPRH,TFCP2
19084,ADPRH,XRN1
19085,ADPRH,ZNF286A
19787,AFF3,CCDC8
19788,AFF3,CDK9
19789,AFF3,CUL9
19790,AFF3,EGFR
19791,AFF3,ERP29
19792,AFF3,HNRNPL
19793,AFF3,KIAA1429
19794,AFF3,MLLT1
19795,AFF3,MLLT3
19796,AFF3,PIP4K2A
19797,AFF3,SYT2
19798,AFF3,TFRC
20835,AKT1,26-29-P
20836,AKT1,ABHD15
20837,AKT1,ABI1
20838,AKT1,ACAP1
20839,AKT1,ACAT2
20840,AKT1,ACTA1
20841,AKT1,ACTB
20842,AKT1,AGAP2
20843,AKT1,AGR3
20844,AKT1,AHSA1
20845,AKT1,AKT1S1
20846,AKT1,AKT2
20847,AKT1,AKT3
20848,AKT1,AKTIP
20849,AKT1,ALDOA
20850,AKT1,ALYREF
20851,AKT1,AMBRA1
20852,AKT1,ANXA2
20853,AKT1,ANXA2P2
20854,AKT1,APOE
20855,AKT1,APOH
20856,AKT1,APP
20857,AKT1,APPL1
20858,AKT1,AR
20859,AKT1,ARAF
20860,AKT1,ARFIP2
20861,AKT1,ARHGAP9
20862,AKT1,ARHGEF16
20863,AKT1,ARHGEF28
20864,AKT1,ARNT
20865,AKT1,ARRB1
20866,AKT1,ARRB2
20867,AKT1,ASXL1
20868,AKT1,ATP1A1
20869,AKT1,ATP6V0A2
20870,AKT1,ATPSYN-BETA
20871,AKT1,ATPSYN-GAMMA
20872,AKT1,ATRX
20873,AKT1,AURKA
20874,AKT1,AATS-ASN
20875,AKT1,ACN
20876,AKT1,ACT57B
20877,AKT1,ADRBK1
20878,AKT1,AKAP200
20879,AKT1,AKT1
20880,AKT1,AKT1S1
20881,AKT1,AKT2
20882,AKT1,APOH
20883,AKT1,APPL1
20884,AKT1,ARC42
20885,AKT1,ARF79F
20886,AKT1,ARRB1
20887,AKT1,ARRB2
20888,AKT1,ATG9
20889,AKT1,ATPALPHA
20890,AKT1,BABAM1
20891,AKT1,BAD
20892,AKT1,BAG2
20893,AKT1,BAG6
20894,AKT1,BAIAP2
20895,AKT1,BAIAP2L1
20896,AKT1,BAP1
20897,AKT1,BCL10
20898,AKT1,BCL2L1
20899,AKT1,BCL2L11
20900,AKT1,BCL3
20901,AKT1,BECN1
20902,AKT1,BEX1
20903,AKT1,BLVRA
20904,AKT1,BPGM
20905,AKT1,BRAF
20906,AKT1,BRCA1
20907,AKT1,BTRC
20908,AKT1,BUB1
20909,AKT1,BAG1
20910,AKT1,BCL10
20911,AKT1,BRAF
20912,AKT1,BTBD10
20913,AKT1,C11ORF30
20914,AKT1,C19ORF60
20915,AKT1,C1ORF174
20916,AKT1,CABLES1
20917,AKT1,CALM1
20918,AKT1,CAMK2A
20919,AKT1,CAMK2D
20920,AKT1,CAPN1
20921,AKT1,CAPZB
20922,AKT1,CARHSP1
20923,AKT1,CASC3
20924,AKT1,CBLC
20925,AKT1,CCDC88A
20926,AKT1,CCND2
20927,AKT1,CCNE1
20928,AKT1,CCNF
20929,AKT1,CCNI
20930,AKT1,CCT2
20931,AKT1,CCT3
20932,AKT1,CCT4
20933,AKT1,CCT5
20934,AKT1,CCT6A
20935,AKT1,CCT7
20936,AKT1,CCT8
20937,AKT1,CD2AP
20938,AKT1,CD44
20939,AKT1,CD81
20940,AKT1,CDC37
20941,AKT1,CDH1
20942,AKT1,CDK4
20943,AKT1,CDK6
20944,AKT1,CDKN1A
20945,AKT1,CDKN1B
20946,AKT1,CDKN1C
20947,AKT1,CDKN2A
20948,AKT1,CDKN2B
20949,AKT1,CDKN2C
20950,AKT1,CEP57L1
20951,AKT1,CEP76
20952,AKT1,CG11138
20953,AKT1,CG1129
20954,AKT1,CG11984
20955,AKT1,CG12262
20956,AKT1,CG12264
20957,AKT1,CG12723
20958,AKT1,CG13510
20959,AKT1,CG13558
20960,AKT1,CG13625
20961,AKT1,CG13806
20962,AKT1,CG13900
20963,AKT1,CG1416
20964,AKT1,CG15100
20965,AKT1,CG1516
20966,AKT1,CG15631
20967,AKT1,CG15784
20968,AKT1,CG17508
20969,AKT1,CG18745
20970,AKT1,CG2614
20971,AKT1,CG3011
20972,AKT1,CG31204
20973,AKT1,CG32425
20974,AKT1,CG33303
20975,AKT1,CG3523
20976,AKT1,CG3808
20977,AKT1,CG4169
20978,AKT1,CG5525
20979,AKT1,CG5708
20980,AKT1,CG5731
20981,AKT1,CG5844
20982,AKT1,CG6453
20983,AKT1,CG6512
20984,AKT1,CG7033
20985,AKT1,CG7548
20986,AKT1,CG7911
20987,AKT1,CG8036
20988,AKT1,CG8258
20989,AKT1,CG9281
20990,AKT1,CG9316
20991,AKT1,CGGBP1
20992,AKT1,CHEK1
20993,AKT1,CHFR
20994,AKT1,CHUK
20995,AKT1,CKB
20996,AKT1,CLASP2
20997,AKT1,CLIP3
20998,AKT1,CLK2
20999,AKT1,CLTC
21000,AKT1,CMTM8
21001,AKT1,CNKSR3
21002,AKT1,COMMD1
21003,AKT1,COX2
21004,AKT1,CREB1
21005,AKT1,CREBBP
21006,AKT1,CSK
21007,AKT1,CSNK2A1
21008,AKT1,CTBP1
21009,AKT1,CTDP1
21010,AKT1,CTDSP2
21011,AKT1,CTNNA1
21012,AKT1,CTNNB1
21013,AKT1,CTTN
21014,AKT1,CUL1
21015,AKT1,CYLD
21016,AKT1,CA-P60A
21017,AKT1,CAMKK1
21018,AKT1,CARD11
21019,AKT1,CCDC88A
21020,AKT1,CCT5
21021,AKT1,CDKN1B
21022,AKT1,CDSA
21023,AKT1,CENG1A
21024,AKT1,CFD
21025,AKT1,CHC
21026,AKT1,CLIP3
21027,AKT1,CPR64AA
21028,AKT1,CRTC
21029,AKT1,CSK
21030,AKT1,CSNK1D
21031,AKT1,CSNK2A1
21032,AKT1,CTNND1
21033,AKT1,CUL1
21034,AKT1,CYCC
21035,AKT1,CYCG
21036,AKT1,CYCK
21037,AKT1,DAB2IP
21038,AKT1,DCTN1
21039,AKT1,DDIT4L
21040,AKT1,DDX5
21041,AKT1,DDX58
21042,AKT1,DJ-1ALPHA
21043,AKT1,DLC1
21044,AKT1,DNAJB1
21045,AKT1,DNAJB6
21046,AKT1,DNM1L
21047,AKT1,DNMT1
21048,AKT1,DSG1
21049,AKT1,DSP
21050,AKT1,DUSP13
21051,AKT1,DCP-1
21052,AKT1,DESAT1
21053,AKT1,DREF
21054,AKT1,DROJ2
21055,AKT1,E5
21056,AKT1,EEF1G
21057,AKT1,EF2
21058,AKT1,EFHC1
21059,AKT1,EFTUD1
21060,AKT1,EGFR
21061,AKT1,EGLN1
21062,AKT1,EIF2AK3
21063,AKT1,EIF4A1
21064,AKT1,EIF4EBP1
21065,AKT1,ENO1
21066,AKT1,ENO2
21067,AKT1,EP300
21068,AKT1,EPHA2
21069,AKT1,EPSTI1
21070,AKT1,ERBB2
21071,AKT1,ERBB3
21072,AKT1,ESR1
21073,AKT1,EZH2
21074,AKT1,ECR
21075,AKT1,EF1ALPHA48D
21076,AKT1,FAF1
21077,AKT1,FAM110C
21078,AKT1,FAM129A
21079,AKT1,FAM168A
21080,AKT1,FAM175A
21081,AKT1,FANCA
21082,AKT1,FANCD2
21083,AKT1,FANCI
21084,AKT1,FASN
21085,AKT1,FBXO31
21086,AKT1,FBXW7
21087,AKT1,FGFR1
21088,AKT1,FGFR4
21089,AKT1,FHL1
21090,AKT1,FKBP5
21091,AKT1,FLII
21092,AKT1,FOXO1
21093,AKT1,FOXO3
21094,AKT1,FOXO4
21095,AKT1,FUS
21096,AKT1,FXN
21097,AKT1,FZR1
21098,AKT1,FAM129A
21099,AKT1,FNDC5
21100,AKT1,FOXO1
21101,AKT1,FOXO3
21102,AKT1,GAB1
21103,AKT1,GAB2
21104,AKT1,GABBR2
21105,AKT1,GAPDH
21106,AKT1,GATA1
21107,AKT1,GATA2
21108,AKT1,GATSL3
21109,AKT1,GDA
21110,AKT1,GET4
21111,AKT1,GFAP
21112,AKT1,GJA1
21113,AKT1,GLI1
21114,AKT1,GLIS2
21115,AKT1,GMPPA
21116,AKT1,GNB1
21117,AKT1,GPHN
21118,AKT1,GPT2
21119,AKT1,GRB10
21120,AKT1,GRIN2A
21121,AKT1,GSK3A
21122,AKT1,GSK3B
21123,AKT1,GAPDH
21124,AKT1,GFAT2
21125,AKT1,GIRDIN
21126,AKT1,GSK3A
21127,AKT1,GSK3B
21128,AKT1,GSTE7
21129,AKT1,HBB
21130,AKT1,HDAC3
21131,AKT1,HDAC6
21132,AKT1,HEATR3
21133,AKT1,HIF1A
21134,AKT1,HIST1H2BB
21135,AKT1,HIST2H2BE
21136,AKT1,HK1
21137,AKT1,HNRNPH1
21138,AKT1,HSP90AA1
21139,AKT1,HSP90AB1
21140,AKT1,HSP90AB3P
21141,AKT1,HSP90B1
21142,AKT1,HSPA1A
21143,AKT1,HSPA4
21144,AKT1,HSPA5
21145,AKT1,HSPA6
21146,AKT1,HSPA8
21147,AKT1,HSPA9
21148,AKT1,HSPB1
21149,AKT1,HTT
21150,AKT1,HCN1
21151,AKT1,HDAC6
21152,AKT1,HEL25E
21153,AKT1,HIST1H2BC
21154,AKT1,HIST2H2BB
21155,AKT1,HMOX1
21156,AKT1,HSC70-3
21157,AKT1,HSC70-5
21158,AKT1,HSP60
21159,AKT1,HSP90AA1
21160,AKT1,HSP90AB1
21161,AKT1,HSPB1
21162,AKT1,HSPB2
21163,AKT1,IBTK
21164,AKT1,IGF1R
21165,AKT1,IGSF8
21166,AKT1,IKBKB
21167,AKT1,IKBKG
21168,AKT1,IL13RA2
21169,AKT1,IL24
21170,AKT1,ILK
21171,AKT1,IMPDH2
21172,AKT1,INTS3
21173,AKT1,IQGAP1
21174,AKT1,IRAK1
21175,AKT1,IRF3
21176,AKT1,IRS1
21177,AKT1,ISCA2
21178,AKT1,ITGB3
21179,AKT1,ITPKB
21180,AKT1,ITPR1
21181,AKT1,ITPR3
21182,AKT1,IWS1
21183,AKT1,ICE
21184,AKT1,ILK
21185,AKT1,IMPL3
21186,AKT1,INSR
21187,AKT1,JADE1
21188,AKT1,KANK1
21189,AKT1,KAT2A
21190,AKT1,KAT2B
21191,AKT1,KAT6A
21192,AKT1,KCNMA1
21193,AKT1,KDELR2
21194,AKT1,KDM4B
21195,AKT1,KLHL3
21196,AKT1,KLRC1
21197,AKT1,KMT2D
21198,AKT1,KRT10
21199,AKT1,KAP-ALPHA3
21200,AKT1,KCTD20
21201,AKT1,LANCL2
21202,AKT1,LATS2
21203,AKT1,LDHA
21204,AKT1,LRRK2
21205,AKT1,LTB4R2
21206,AKT1,LON
21207,AKT1,MAGEB1
21208,AKT1,MAP2K3
21209,AKT1,MAP2K4
21210,AKT1,MAP2K5
21211,AKT1,MAP2K6
21212,AKT1,MAP3K11
21213,AKT1,MAP3K5
21214,AKT1,MAP3K8
21215,AKT1,MAPK14
21216,AKT1,MAPK4
21217,AKT1,MAPK8
21218,AKT1,MAPK8IP1
21219,AKT1,MAPK9
21220,AKT1,MAPKAP1
21221,AKT1,MAPKAPK2
21222,AKT1,MAPT
21223,AKT1,MARK2
21224,AKT1,MARK4
21225,AKT1,MATK
21226,AKT1,MDH1
21227,AKT1,MDM2
21228,AKT1,MED15
21229,AKT1,MEF2D
21230,AKT1,MESDC2
21231,AKT1,METTL1
21232,AKT1,METTL21B
21233,AKT1,MLF2
21234,AKT1,MLH3
21235,AKT1,MOK
21236,AKT1,MRC2
21237,AKT1,MSH2
21238,AKT1,MST1R
21239,AKT1,MTA3
21240,AKT1,MTCP1
21241,AKT1,MTOR
21242,AKT1,MTUS2
21243,AKT1,MUL1
21244,AKT1,MXD1
21245,AKT1,MYC
21246,AKT1,MYH9
21247,AKT1,MAP4K4
21248,AKT1,MAPK14
21249,AKT1,MAPKAPK2
21250,AKT1,MAPT
21251,AKT1,MKK4
21252,AKT1,MS4A2
21253,AKT1,N
21254,AKT1,NCF2
21255,AKT1,NCKIPSD
21256,AKT1,NCOA4
21257,AKT1,NCOR2
21258,AKT1,ND75
21259,AKT1,NEDD4
21260,AKT1,NEDD4L
21261,AKT1,NF1
21262,AKT1,NF2
21263,AKT1,NFE2L2
21264,AKT1,NFKBIA
21265,AKT1,NGB
21266,AKT1,NKD1
21267,AKT1,NLGN3
21268,AKT1,NOL4
21269,AKT1,NOP56
21270,AKT1,NOS3
21271,AKT1,NOTCH1
21272,AKT1,NPM1
21273,AKT1,NQO1
21274,AKT1,NR2F2
21275,AKT1,NR4A1
21276,AKT1,NRAS
21277,AKT1,NRIP2
21278,AKT1,NSF
21279,AKT1,NTRK1
21280,AKT1,NAP1
21281,AKT1,NC73EF
21282,AKT1,NEDD4
21283,AKT1,NLE
21284,AKT1,NP
21285,AKT1,OFD1
21286,AKT1,OSBPL11
21287,AKT1,OSGIN1
21288,AKT1,OTUB2
21289,AKT1,OTUD5
21290,AKT1,OTUD6A
21291,AKT1,OXSR1
21292,AKT1,OST48
21293,AKT1,PA2G4
21294,AKT1,PAK1
21295,AKT1,PARK2
21296,AKT1,PCGF2
21297,AKT1,PCK1
21298,AKT1,PCNA
21299,AKT1,PDE3A
21300,AKT1,PDE3B
21301,AKT1,PDGFRA
21302,AKT1,PDHB
21303,AKT1,PDK1
21304,AKT1,PDPK1
21305,AKT1,PDZK1
21306,AKT1,PEBP1
21307,AKT1,PFKFB1
21308,AKT1,PFKP
21309,AKT1,PHB2
21310,AKT1,PHDP
21311,AKT1,PHLPP1
21312,AKT1,PI4K2B
21313,AKT1,PIAS1
21314,AKT1,PIAS2
21315,AKT1,PICK1
21316,AKT1,PIK3CA
21317,AKT1,PIK3CB
21318,AKT1,PIK3R1
21319,AKT1,PINK1
21320,AKT1,PIP5K1C
21321,AKT1,PKD1
21322,AKT1,PKD2
21323,AKT1,PKN2
21324,AKT1,PLCG1
21325,AKT1,PLEKHA4
21326,AKT1,PLEKHO1
21327,AKT1,PLP1
21328,AKT1,PLXNA1
21329,AKT1,PLXNB1
21330,AKT1,PMS2
21331,AKT1,POP4
21332,AKT1,POP7
21333,AKT1,PPIA
21334,AKT1,PPL
21335,AKT1,PPM1A
21336,AKT1,PPM1H
21337,AKT1,PPP1CA
21338,AKT1,PPP1CB
21339,AKT1,PPP1CC
