,g1,g2
37784,ATP1A1,ATP1B1
37785,ATP1A1,ATP1B2
37786,ATP1A1,ATP2B1
37787,ATP1A1,ATXN1
37788,ATP1A1,B3GAT1
37789,ATP1A1,B4GALT2
37790,ATP1A1,BAG1
37791,ATP1A1,BIRC3
37792,ATP1A1,BRD4
37793,ATP1A1,BRIX1
37794,ATP1A1,BMPR1A
37795,ATP1A1,C11ORF52
37796,ATP1A1,C3ORF17
37797,ATP1A1,C4ORF32
37798,ATP1A1,CAD
37799,ATP1A1,CALD1
37800,ATP1A1,CANX
37801,ATP1A1,CAV1
37802,ATP1A1,CCDC47
37803,ATP1A1,CCDC8
37804,ATP1A1,CCDC86
37805,ATP1A1,CCT2
37806,ATP1A1,CCT3
37807,ATP1A1,CCT6A
37808,ATP1A1,CCT7
37809,ATP1A1,CCT8
37810,ATP1A1,CD81
37811,ATP1A1,CDC42
37812,ATP1A1,CDK2
37813,ATP1A1,CDK20
37814,ATP1A1,CDK9
37815,ATP1A1,CIC
37816,ATP1A1,CIT
37817,ATP1A1,CLN3
37818,ATP1A1,CLTC
37819,ATP1A1,CLTCL1
37820,ATP1A1,COIL
37821,ATP1A1,COPA
37822,ATP1A1,COPB2
37823,ATP1A1,COPE
37824,ATP1A1,COX15
37825,ATP1A1,COX8A
37826,ATP1A1,CPS1
37827,ATP1A1,CRY2
37828,ATP1A1,CSK
37829,ATP1A1,CSNK1A1
37830,ATP1A1,CTNNB1
37831,ATP1A1,CUL3
37832,ATP1A1,CUL4A
37833,ATP1A1,CUL4B
37834,ATP1A1,CUL7
37835,ATP1A1,CXADR
37836,ATP1A1,CYB5B
37837,ATP1A1,CYC1
37838,ATP1A1,CYLD
37839,ATP1A1,CACNA1D
37840,ATP1A1,CFD
37841,ATP1A1,CFL1
37842,ATP1A1,DDOST
37843,ATP1A1,DDRGK1
37844,ATP1A1,DDX21
37845,ATP1A1,DDX27
37846,ATP1A1,DDX3X
37847,ATP1A1,DDX58
37848,ATP1A1,DERL1
37849,ATP1A1,DHFRL1
37850,ATP1A1,DHX15
37851,ATP1A1,DHX57
37852,ATP1A1,DHX9
37853,ATP1A1,DIRAS3
37854,ATP1A1,DLD
37855,ATP1A1,DNAJA1
37856,ATP1A1,DOPEY2
37857,ATP1A1,DPM1
37858,ATP1A1,DPP4
