,g1,g2
16938,ARL15,UNC119
16939,ARL15,WDR20
16940,ARL15,ZDHHC11
16941,ARL15,ZDHHC5
16942,ARL15,ZNF333
18240,ARL6IP1,ACSF2
18241,ARL6IP1,AQP6
18242,ARL6IP1,ARL6
18243,ARL6IP1,ARL6IP5
18244,ARL6IP1,ATF2
18245,ARL6IP1,ATL2
18246,ARL6IP1,ATL3
18247,ARL6IP1,ATP11
18248,ARL6IP1,ATP2B2
18249,ARL6IP1,ARL6IP1
18250,ARL6IP1,BCAP31
18251,ARL6IP1,BCAR1
18252,ARL6IP1,BSCL2
18253,ARL6IP1,C12ORF10
18254,ARL6IP1,C19ORF18
18255,ARL6IP1,CDC9
18256,ARL6IP1,COL4A3BP
18257,ARL6IP1,COPA
18258,ARL6IP1,COPB2
18259,ARL6IP1,CTDNEP1
18260,ARL6IP1,CFD
18261,ARL6IP1,DDX58
18262,ARL6IP1,DIABLO
18263,ARL6IP1,EHD3
18264,ARL6IP1,ELAVL1
18265,ARL6IP1,EMP1
18266,ARL6IP1,ENG
18267,ARL6IP1,ESYT1
18268,ARL6IP1,ESYT2
18269,ARL6IP1,F2RL1
18270,ARL6IP1,FAA2
18271,ARL6IP1,FAF2
18272,ARL6IP1,FAM134A
18273,ARL6IP1,FAM134B
18274,ARL6IP1,FAM134C
18275,ARL6IP1,FBXW7
18276,ARL6IP1,FDFT1
18277,ARL6IP1,FPR2
18278,ARL6IP1,FXR2
18279,ARL6IP1,FNDC5
18280,ARL6IP1,GAD2
18281,ARL6IP1,GAS8
18282,ARL6IP1,GLCE
18283,ARL6IP1,GOLPH3
18284,ARL6IP1,GOLPH3L
18285,ARL6IP1,GORASP2
18286,ARL6IP1,GPR151
18287,ARL6IP1,GPR152
18288,ARL6IP1,HGS
18289,ARL6IP1,HIATL1
18290,ARL6IP1,HMGCL
18291,ARL6IP1,HSD17B13
18292,ARL6IP1,IFITM3
18293,ARL6IP1,INPP5K
18294,ARL6IP1,IPPK
18295,ARL6IP1,LMNA
18296,ARL6IP1,MAPK6
18297,ARL6IP1,MCEMP1
18298,ARL6IP1,MFSD5
18299,ARL6IP1,MGST3
18300,ARL6IP1,MIEF2
18301,ARL6IP1,MTERF3
18302,ARL6IP1,NAPB
18303,ARL6IP1,NDRG1
18304,ARL6IP1,NDRG4
18305,ARL6IP1,NSF
18306,ARL6IP1,NUDT3
18307,ARL6IP1,ORF6
18308,ARL6IP1,PAM16
18309,ARL6IP1,PBX3
