,g1,g2
20325,AHNAK,ARHGAP21
20326,AHNAK,ARHGAP36
20327,AHNAK,ARHGDIA
20328,AHNAK,ARL13B
20329,AHNAK,ARL14
20330,AHNAK,ARL15
20331,AHNAK,ARL4C
20332,AHNAK,ASNS
20333,AHNAK,ATF2
20334,AHNAK,ATP4A
20335,AHNAK,AURKB
20336,AHNAK,AXL
20337,AHNAK,ACTB
20338,AHNAK,AGAP2
20339,AHNAK,AHNAK
20340,AHNAK,ANXA2
20341,AHNAK,APC2
20342,AHNAK,BAG2
20343,AHNAK,BAG5
20344,AHNAK,BRCA1
20345,AHNAK,BRD4
20346,AHNAK,BTF3
20347,AHNAK,BMPR1A
20348,AHNAK,C14ORF166
20349,AHNAK,C14ORF37
20350,AHNAK,C2CD5
20351,AHNAK,CACYBP
20352,AHNAK,CAPZA2
20353,AHNAK,CCDC8
20354,AHNAK,CCT5
20355,AHNAK,CDC42
20356,AHNAK,CDC42EP1
20357,AHNAK,CDC5L
20358,AHNAK,CDH1
20359,AHNAK,CDK2
20360,AHNAK,CDK5RAP2
20361,AHNAK,CERS2
20362,AHNAK,CFTR
20363,AHNAK,CHD4
20364,AHNAK,CHMP4B
20365,AHNAK,CHMP4C
20366,AHNAK,CIT
20367,AHNAK,CNST
20368,AHNAK,COMMD3
20369,AHNAK,CTTN
20370,AHNAK,CUL7
20371,AHNAK,CYLD
20372,AHNAK,CALML3
20373,AHNAK,CCDC15
20374,AHNAK,CDK1
20375,AHNAK,CDKN2A
20376,AHNAK,CFD
20377,AHNAK,CORO1C
20378,AHNAK,CSNK1E
20379,AHNAK,DCPS
20380,AHNAK,DCUN1D5
20381,AHNAK,DIS3
20382,AHNAK,DMD
20383,AHNAK,DNAJC28
20384,AHNAK,DOCK11
20385,AHNAK,DSP
20386,AHNAK,DTX3
20387,AHNAK,DUX4
20388,AHNAK,DYRK1A
20389,AHNAK,DMD
20390,AHNAK,ECT2
20391,AHNAK,EEF1A1
20392,AHNAK,EEF1B2
20393,AHNAK,EEF1D
20394,AHNAK,EEF2
20395,AHNAK,EFTUD2
20396,AHNAK,EGFR
20397,AHNAK,EMC1
20398,AHNAK,EMC2
20399,AHNAK,ESR1
20400,AHNAK,EZH2
20401,AHNAK,EZR
20402,AHNAK,ERP44
20403,AHNAK,ESRRB
20404,AHNAK,FAM136A
20405,AHNAK,FANCD2
20406,AHNAK,FBXO43
20407,AHNAK,FBXW7
20408,AHNAK,FGD5
20409,AHNAK,FLCN
20410,AHNAK,FLNA
20411,AHNAK,FLNB
20412,AHNAK,FMNL1
20413,AHNAK,FMR1
20414,AHNAK,FN1
20415,AHNAK,FOLR1
20416,AHNAK,FAM83D
20417,AHNAK,FAM92A
