,g1,g2
20976,AKT1,CG3808
20977,AKT1,CG4169
20978,AKT1,CG5525
20979,AKT1,CG5708
20980,AKT1,CG5731
20981,AKT1,CG5844
20982,AKT1,CG6453
20983,AKT1,CG6512
20984,AKT1,CG7033
20985,AKT1,CG7548
20986,AKT1,CG7911
20987,AKT1,CG8036
20988,AKT1,CG8258
20989,AKT1,CG9281
20990,AKT1,CG9316
20991,AKT1,CGGBP1
20992,AKT1,CHEK1
20993,AKT1,CHFR
20994,AKT1,CHUK
20995,AKT1,CKB
20996,AKT1,CLASP2
20997,AKT1,CLIP3
20998,AKT1,CLK2
20999,AKT1,CLTC
21000,AKT1,CMTM8
21001,AKT1,CNKSR3
21002,AKT1,COMMD1
21003,AKT1,COX2
21004,AKT1,CREB1
21005,AKT1,CREBBP
21006,AKT1,CSK
21007,AKT1,CSNK2A1
21008,AKT1,CTBP1
21009,AKT1,CTDP1
21010,AKT1,CTDSP2
21011,AKT1,CTNNA1
21012,AKT1,CTNNB1
21013,AKT1,CTTN
21014,AKT1,CUL1
21015,AKT1,CYLD
21016,AKT1,CA-P60A
21017,AKT1,CAMKK1
21018,AKT1,CARD11
21019,AKT1,CCDC88A
21020,AKT1,CCT5
21021,AKT1,CDKN1B
21022,AKT1,CDSA
21023,AKT1,CENG1A
21024,AKT1,CFD
21025,AKT1,CHC
21026,AKT1,CLIP3
21027,AKT1,CPR64AA
21028,AKT1,CRTC
21029,AKT1,CSK
21030,AKT1,CSNK1D
21031,AKT1,CSNK2A1
21032,AKT1,CTNND1
21033,AKT1,CUL1
21034,AKT1,CYCC
21035,AKT1,CYCG
21036,AKT1,CYCK
21037,AKT1,DAB2IP
21038,AKT1,DCTN1
21039,AKT1,DDIT4L
21040,AKT1,DDX5
21041,AKT1,DDX58
21042,AKT1,DJ-1ALPHA
21043,AKT1,DLC1
21044,AKT1,DNAJB1
21045,AKT1,DNAJB6
21046,AKT1,DNM1L
21047,AKT1,DNMT1
21048,AKT1,DSG1
21049,AKT1,DSP
21050,AKT1,DUSP13
21051,AKT1,DCP-1
21052,AKT1,DESAT1
21053,AKT1,DREF
21054,AKT1,DROJ2
21055,AKT1,E5
21056,AKT1,EEF1G
21057,AKT1,EF2
21058,AKT1,EFHC1
21059,AKT1,EFTUD1
21060,AKT1,EGFR
21061,AKT1,EGLN1
21062,AKT1,EIF2AK3
21063,AKT1,EIF4A1
21064,AKT1,EIF4EBP1
21065,AKT1,ENO1
21066,AKT1,ENO2
21067,AKT1,EP300
21068,AKT1,EPHA2
21069,AKT1,EPSTI1
21070,AKT1,ERBB2
21071,AKT1,ERBB3
21072,AKT1,ESR1
21073,AKT1,EZH2
21074,AKT1,ECR
21075,AKT1,EF1ALPHA48D
21076,AKT1,FAF1
21077,AKT1,FAM110C
21078,AKT1,FAM129A
21079,AKT1,FAM168A
21080,AKT1,FAM175A
21081,AKT1,FANCA
21082,AKT1,FANCD2
21083,AKT1,FANCI
21084,AKT1,FASN
21085,AKT1,FBXO31
21086,AKT1,FBXW7
21087,AKT1,FGFR1
21088,AKT1,FGFR4
21089,AKT1,FHL1
21090,AKT1,FKBP5
21091,AKT1,FLII
21092,AKT1,FOXO1
21093,AKT1,FOXO3
21094,AKT1,FOXO4
21095,AKT1,FUS
21096,AKT1,FXN
21097,AKT1,FZR1
21098,AKT1,FAM129A
21099,AKT1,FNDC5
21100,AKT1,FOXO1
21101,AKT1,FOXO3
21102,AKT1,GAB1
21103,AKT1,GAB2
21104,AKT1,GABBR2
21105,AKT1,GAPDH
21106,AKT1,GATA1
21107,AKT1,GATA2
21108,AKT1,GATSL3
21109,AKT1,GDA
21110,AKT1,GET4
21111,AKT1,GFAP
21112,AKT1,GJA1
21113,AKT1,GLI1
21114,AKT1,GLIS2
21115,AKT1,GMPPA
21116,AKT1,GNB1
21117,AKT1,GPHN
21118,AKT1,GPT2
21119,AKT1,GRB10
21120,AKT1,GRIN2A
21121,AKT1,GSK3A
21122,AKT1,GSK3B
21123,AKT1,GAPDH
21124,AKT1,GFAT2
21125,AKT1,GIRDIN
21126,AKT1,GSK3A
21127,AKT1,GSK3B
21128,AKT1,GSTE7
21129,AKT1,HBB
21130,AKT1,HDAC3
21131,AKT1,HDAC6
21132,AKT1,HEATR3
21133,AKT1,HIF1A
21134,AKT1,HIST1H2BB
21135,AKT1,HIST2H2BE
21136,AKT1,HK1
21137,AKT1,HNRNPH1
21138,AKT1,HSP90AA1
21139,AKT1,HSP90AB1
21140,AKT1,HSP90AB3P
21141,AKT1,HSP90B1
21142,AKT1,HSPA1A
21143,AKT1,HSPA4
21144,AKT1,HSPA5
21145,AKT1,HSPA6
21146,AKT1,HSPA8
21147,AKT1,HSPA9
21148,AKT1,HSPB1
21149,AKT1,HTT
21150,AKT1,HCN1
21151,AKT1,HDAC6
21152,AKT1,HEL25E
21153,AKT1,HIST1H2BC
21154,AKT1,HIST2H2BB
21155,AKT1,HMOX1
21156,AKT1,HSC70-3
21157,AKT1,HSC70-5
21158,AKT1,HSP60
21159,AKT1,HSP90AA1
21160,AKT1,HSP90AB1
21161,AKT1,HSPB1
21162,AKT1,HSPB2
21163,AKT1,IBTK
21164,AKT1,IGF1R
21165,AKT1,IGSF8
21166,AKT1,IKBKB
21167,AKT1,IKBKG
21168,AKT1,IL13RA2
21169,AKT1,IL24
21170,AKT1,ILK
21171,AKT1,IMPDH2
21172,AKT1,INTS3
21173,AKT1,IQGAP1
21174,AKT1,IRAK1
21175,AKT1,IRF3
21176,AKT1,IRS1
21177,AKT1,ISCA2
21178,AKT1,ITGB3
21179,AKT1,ITPKB
21180,AKT1,ITPR1
21181,AKT1,ITPR3
21182,AKT1,IWS1
21183,AKT1,ICE
21184,AKT1,ILK
21185,AKT1,IMPL3
21186,AKT1,INSR
21187,AKT1,JADE1
21188,AKT1,KANK1
21189,AKT1,KAT2A
21190,AKT1,KAT2B
21191,AKT1,KAT6A
21192,AKT1,KCNMA1
21193,AKT1,KDELR2
21194,AKT1,KDM4B
21195,AKT1,KLHL3
21196,AKT1,KLRC1
21197,AKT1,KMT2D
21198,AKT1,KRT10
21199,AKT1,KAP-ALPHA3
21200,AKT1,KCTD20
21201,AKT1,LANCL2
21202,AKT1,LATS2
21203,AKT1,LDHA
21204,AKT1,LRRK2
21205,AKT1,LTB4R2
21206,AKT1,LON
21207,AKT1,MAGEB1
21208,AKT1,MAP2K3
21209,AKT1,MAP2K4
21210,AKT1,MAP2K5
21211,AKT1,MAP2K6
21212,AKT1,MAP3K11
21213,AKT1,MAP3K5
21214,AKT1,MAP3K8
21215,AKT1,MAPK14
21216,AKT1,MAPK4
21217,AKT1,MAPK8
21218,AKT1,MAPK8IP1
21219,AKT1,MAPK9
21220,AKT1,MAPKAP1
21221,AKT1,MAPKAPK2
21222,AKT1,MAPT
21223,AKT1,MARK2
21224,AKT1,MARK4
21225,AKT1,MATK
21226,AKT1,MDH1
21227,AKT1,MDM2
21228,AKT1,MED15
21229,AKT1,MEF2D
21230,AKT1,MESDC2
21231,AKT1,METTL1
21232,AKT1,METTL21B
21233,AKT1,MLF2
21234,AKT1,MLH3
21235,AKT1,MOK
21236,AKT1,MRC2
21237,AKT1,MSH2
21238,AKT1,MST1R
21239,AKT1,MTA3
21240,AKT1,MTCP1
21241,AKT1,MTOR
21242,AKT1,MTUS2
21243,AKT1,MUL1
21244,AKT1,MXD1
21245,AKT1,MYC
21246,AKT1,MYH9
21247,AKT1,MAP4K4
21248,AKT1,MAPK14
21249,AKT1,MAPKAPK2
21250,AKT1,MAPT
21251,AKT1,MKK4
21252,AKT1,MS4A2
21253,AKT1,N
21254,AKT1,NCF2
21255,AKT1,NCKIPSD
21256,AKT1,NCOA4
21257,AKT1,NCOR2
21258,AKT1,ND75
21259,AKT1,NEDD4
21260,AKT1,NEDD4L
21261,AKT1,NF1
21262,AKT1,NF2
21263,AKT1,NFE2L2
21264,AKT1,NFKBIA
21265,AKT1,NGB
21266,AKT1,NKD1
21267,AKT1,NLGN3
21268,AKT1,NOL4
21269,AKT1,NOP56
21270,AKT1,NOS3
21271,AKT1,NOTCH1
21272,AKT1,NPM1
21273,AKT1,NQO1
21274,AKT1,NR2F2
21275,AKT1,NR4A1
21276,AKT1,NRAS
21277,AKT1,NRIP2
21278,AKT1,NSF
21279,AKT1,NTRK1
21280,AKT1,NAP1
21281,AKT1,NC73EF
21282,AKT1,NEDD4
21283,AKT1,NLE
21284,AKT1,NP
21285,AKT1,OFD1
21286,AKT1,OSBPL11
21287,AKT1,OSGIN1
21288,AKT1,OTUB2
21289,AKT1,OTUD5
21290,AKT1,OTUD6A
21291,AKT1,OXSR1
21292,AKT1,OST48
21293,AKT1,PA2G4
21294,AKT1,PAK1
21295,AKT1,PARK2
21296,AKT1,PCGF2
21297,AKT1,PCK1
21298,AKT1,PCNA
21299,AKT1,PDE3A
21300,AKT1,PDE3B
21301,AKT1,PDGFRA
21302,AKT1,PDHB
21303,AKT1,PDK1
21304,AKT1,PDPK1
21305,AKT1,PDZK1
21306,AKT1,PEBP1
21307,AKT1,PFKFB1
21308,AKT1,PFKP
21309,AKT1,PHB2
21310,AKT1,PHDP
21311,AKT1,PHLPP1
21312,AKT1,PI4K2B
21313,AKT1,PIAS1
21314,AKT1,PIAS2
21315,AKT1,PICK1
21316,AKT1,PIK3CA
21317,AKT1,PIK3CB
21318,AKT1,PIK3R1
21319,AKT1,PINK1
21320,AKT1,PIP5K1C
21321,AKT1,PKD1
21322,AKT1,PKD2
21323,AKT1,PKN2
21324,AKT1,PLCG1
21325,AKT1,PLEKHA4
21326,AKT1,PLEKHO1
21327,AKT1,PLP1
21328,AKT1,PLXNA1
21329,AKT1,PLXNB1
21330,AKT1,PMS2
21331,AKT1,POP4
21332,AKT1,POP7
21333,AKT1,PPIA
21334,AKT1,PPL
21335,AKT1,PPM1A
21336,AKT1,PPM1H
21337,AKT1,PPP1CA
21338,AKT1,PPP1CB
21339,AKT1,PPP1CC
21340,AKT1,PPP1R11
21341,AKT1,PPP2CA
21342,AKT1,PPP2R1A
21343,AKT1,PPP2R4
21344,AKT1,PPP3CA
21345,AKT1,PREX1
21346,AKT1,PRKAR1A
21347,AKT1,PRKCB
21348,AKT1,PRKCQ
21349,AKT1,PRKCZ
21350,AKT1,PRKDC
21351,AKT1,PRL-1
21352,AKT1,PSMB4
21353,AKT1,PSMC5
21354,AKT1,PSRC1
21355,AKT1,PTEN
21356,AKT1,PTGDS
21357,AKT1,PTK2
21358,AKT1,PTPN11
21359,AKT1,PTPN3
21360,AKT1,PYCRL
21361,AKT1,PYGO2
21362,AKT1,PARVB
21363,AKT1,PDK1
21364,AKT1,PDK2
21365,AKT1,PGAM5
21366,AKT1,PHLPP1
21367,AKT1,PI3K92E
21368,AKT1,PIK3R1
21369,AKT1,PP2A-29B
21370,AKT1,PPARGC1A
21371,AKT1,PPL
21372,AKT1,PPP2CA
21373,AKT1,PPP2R2B
21374,AKT1,PSA
21375,AKT1,PTEN
21376,AKT1,PTP61F
21377,AKT1,PYK
21378,AKT1,RAC1
21379,AKT1,RAF1
21380,AKT1,RAP1GDS1
21381,AKT1,RARA
21382,AKT1,RASD2
21383,AKT1,RASL10B
21384,AKT1,RASSF1
21385,AKT1,RCN2
21386,AKT1,REPS1
21387,AKT1,RGCC
21388,AKT1,RICTOR
21389,AKT1,RLIM
21390,AKT1,RNF11
21391,AKT1,RNF115
21392,AKT1,RNF14
21393,AKT1,RNF20
21394,AKT1,RNF40
21395,AKT1,RNF8
21396,AKT1,RPE
21397,AKT1,RPS27A
21398,AKT1,RPS6KA1
21399,AKT1,RPS6KB1
21400,AKT1,RPS6KB2
21401,AKT1,RPTOR
21402,AKT1,RQCD1
21403,AKT1,RSL1D1
21404,AKT1,RUVBL2
21405,AKT1,RACK1
21406,AKT1,RANBP9
21407,AKT1,RBP6
21408,AKT1,ROP
21409,AKT1,RPL17
21410,AKT1,RPL23
21411,AKT1,RPL31
21412,AKT1,RPL9
21413,AKT1,RPLP1
21414,AKT1,RPS14A
21415,AKT1,RPS15AA
21416,AKT1,RPS16
21417,AKT1,RPS17
21418,AKT1,RPS7
21419,AKT1,RPS9
21420,AKT1,RPL23
21421,AKT1,RPN1
21422,AKT1,RPN10
21423,AKT1,RPN13
21424,AKT1,RPN5
21425,AKT1,RPN9
21426,AKT1,RPT1
21427,AKT1,RPT2
21428,AKT1,RPT4
21429,AKT1,RPT5
21430,AKT1,RPT6
21431,AKT1,S100A14
21432,AKT1,S6K
21433,AKT1,SERPINB5
21434,AKT1,SERTAD4
21435,AKT1,SETDB1
21436,AKT1,SFMBT2
21437,AKT1,SFN
21438,AKT1,SH3RF1
21439,AKT1,SHANK2
21440,AKT1,SHQ1
21441,AKT1,SIRPA
21442,AKT1,SIRT1
21443,AKT1,SIRT2
21444,AKT1,SIRT6
21445,AKT1,SKI
21446,AKT1,SKP2
21447,AKT1,SLC25A3
21448,AKT1,SLC9A1
21449,AKT1,SLC9A3R1
21450,AKT1,SLFN5
21451,AKT1,SMAD2
21452,AKT1,SMAD3
21453,AKT1,SMAD4
21454,AKT1,SMAD7
21455,AKT1,SMARCB1
21456,AKT1,SMARCC1
21457,AKT1,SMARCC2
21458,AKT1,SNAI1
21459,AKT1,SNCA
21460,AKT1,SNCB
21461,AKT1,SORBS1
21462,AKT1,SOSTDC1
21463,AKT1,SOX2
21464,AKT1,SOX4
21465,AKT1,SP1
21466,AKT1,SP2637
21467,AKT1,SP3
21468,AKT1,SPACA6P
21469,AKT1,SPATA33
21470,AKT1,SRC
21471,AKT1,SRPK2
21472,AKT1,SRR
21473,AKT1,SSB
21474,AKT1,SSC4D
21475,AKT1,SSH1
21476,AKT1,ST14
21477,AKT1,STK11
21478,AKT1,STK3
21479,AKT1,STK4
21480,AKT1,STOX1
21481,AKT1,STUB1
21482,AKT1,SULT4A1
21483,AKT1,SUPT6H
21484,AKT1,SYTL1
21485,AKT1,SAM-S
21486,AKT1,SCOX
21487,AKT1,SERTAD4
21488,AKT1,SESN
21489,AKT1,SH2B2
21490,AKT1,SMAD3
21491,AKT1,SNCB
21492,AKT1,SOX2
21493,AKT1,SOX21B
21494,AKT1,SPLY
21495,AKT1,SRC
21496,AKT1,SRR
21497,AKT1,SSRBETA
